"View Credit Memo","Visa kreditnota"
"Customer-facing UX for the withdrawal flow. Subgroups: <em>Buttons</em> (legal-critical labels), <em>Placements</em> (where to surface the link), <em>Return Reasons</em> (per-item dropdown), <em>Review Step</em> (content on step 3 of the flow).","Kundvänd UX för ångerflödet. Undergrupper: <em>Knappar</em> (juridiskt avgörande etiketter), <em>Placeringar</em> (var länken ska visas), <em>Returorsaker</em> (rullgardinslista per artikel), <em>Granskningssteg</em> (innehåll i flödets steg 3)."
"Disable only if you deliver the durable-medium confirmation through a different channel.","Inaktivera endast om du levererar bekräftelsen i varaktig form via en annan kanal."
"Disable only if you deliver the receipt through a different durable medium (postal mail, customer account download, etc.).","Inaktivera endast om du levererar kvittot via ett annat varaktigt medium (post, nedladdning i kundkontot m.m.)."
"Empty fields fall through to the locale baseline. Any override value becomes part of the SHA-256 hash stored per consent event — changing a field after customers have consented does <strong>not</strong> retroactively invalidate prior consents.","Tomma fält faller tillbaka på baslinjen i the locale baseline för respektive språk/jurisdiktion. Varje överskrivningsvärde blir en del av SHA-256-hashen som sparas per samtyckeshändelse — att ändra ett fält efter att kunder har samtyckt ogiltigförklarar <strong>inte</strong> tidigare samtycken retroaktivt."
"Mandatory pre-contractual disclosure of the right of withdrawal. Displayed on the checkout payment step. Each display is logged forensically (Art. 10 defence). Snapshot of the rendered text is stored immutably (Art. 6(5)). <strong>Counsel review recommended before customising any Annex I text.</strong>","Obligatorisk förkontraktuell information om ångerrätten. Visas i kassans betalningssteg. Varje visning loggas på ett bevismässigt sätt (försvar enligt art. 10). En ögonblicksbild av den renderade texten lagras oföränderligt (art. 6.5). <strong>Juridisk granskning rekommenderas innan någon text i bilaga I anpassas.</strong>"
"Off = block hidden but display events still recorded server-side via predispatch fallback. Use only for sandbox testing. Default: on.","Av = blocket är dolt men visningshändelser registreras fortfarande på serversidan via predispatch-reservlösningen. Använd endast för sandbox-tester. Standard: på."
"Optional URLs rendered as round monogram badges in the email footer. Leave blank to hide.","Valfria URL:er som visas som runda monogrammärken i e-postsidfoten. Lämna tomt för att dölja."
"Sent when a customer cancels their own pending withdrawal.","Skickas när en kund avbryter sitt eget väntande ångerärende."
"Sent when a customer completes the withdrawal form.","Skickas när en kund fyller i ångerformuläret."
"Sent when an admin approves a withdrawal request.","Skickas när en administratör godkänner en ångerbegäran."
"Sent when an admin cancels a withdrawal request on the customer's behalf.","Skickas när en administratör avbryter en ångerbegäran för kundens räkning."
"Sent when an admin denies a withdrawal request.","Skickas när en administratör avslår en ångerbegäran."
"These presets exclude specific product categories from the 14-day withdrawal right, per Art. 16 CRD. Each rule is OFF by default — enable only after confirming the corresponding product attribute is set correctly on your catalog.","Dessa förinställningar undantar specifika produktkategorier från den 14 dagar långa ångerrätten enligt art. 16 CRD. Varje regel är AV som standard — aktivera först efter att du bekräftat att motsvarande produktattribut är korrekt inställt i din katalog."
"e.g. ""EU orders above €50""","t.ex. ""EU-ordrar över 50 €"""
"e.g. ""Free delivery""","t.ex. ""Fri leverans"""
"Qty: ","Antal: "
"Submission failed. Please try again.","Inlämning misslyckades. Försök igen."
"Network error. Please try again.","Nätverksfel. Försök igen."
"Invalid server response.","Ogiltigt serversvar."
"Admin Notifications","Administratörsmeddelanden"
"Internal alerts to your team. Independent of the per-email <em>BCC Merchant</em> checkboxes under <em>Customer Notifications</em> below — if you enable both, you will receive two emails per request.","Interna varningar till ditt team. Oberoende av kryssrutorna <em>BCC till handlare</em> under <em>Kundmeddelanden</em> nedan — om du aktiverar båda får du två e-postmeddelanden per begäran."
"1. New Request Alert","1. Avisering om ny begäran"
"Sent the moment a customer completes the two-step withdrawal flow.","Skickas i det ögonblick en kund slutför tvåstegsprocessen för ångerrätt."
"Recipient Email(s)","Mottagarens e-post"
"BCC","Hemlig kopia"
"New Withdrawal Request","Ny begäran om ångerrätt"
"A new withdrawal request was just submitted.","En ny begäran om ångerrätt har just skickats."
"Request:","Begäran:"
"Order:","Order:"
"Customer:","Kund:"
"Refund Total:","Totalt återbetalningsbelopp:"
"[Withdrawal] New request %request_increment_id · Order #%order_increment_id · %refund_total","[Ångerrätt] Ny begäran %request_increment_id · Order #%order_increment_id · %refund_total"
"Anonymised","Anonymiserad"
"Audit","Revision"
"Cancel Order","Avbryt order"
"Confirmation Email (Art. 11a(4))","Bekräftelse-e-post (art. 11a(4))"
"Detection (Art. 16(m))","Identifiering (art. 16(m))"
"Digital Waiver (Art. 16(m))","Avstående för digitalt innehåll (art. 16(m))"
"Email Identity","Avsändaridentitet"
"ID","ID"
"Integrity hash","Integritetshash"
"Pre-Contract Proof","Föravtalsbevis"
"Verify this receipt","Verifiera detta kvitto"
"Withdrawal Window","Ångerfrist"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Detta SHA-256-hashvärde identifierar entydigt din ångerregistrering. Du kan när som helst verifiera det med knappen ovan."
"Digital content waiver confirmation — Order %increment_id","Bekräftelse av avstående för digitalt innehåll — Order %increment_id"
"Comma-separated. Each recipient receives a separate email rendered in their own admin locale (looked up via the admin user's interface_locale; fallback to general/locale/code). Invalid addresses dropped silently.","Kommaseparerade. Varje mottagare får ett separat e-postmeddelande renderat i sin egen admin-lokal (slås upp via admin-användarens interface_locale; reserv — general/locale/code). Ogiltiga adresser släpps utan meddelande."
"Art. 16(m) CRD digital-content detection. Determines what counts as digital content for eligibility purposes. The actual checkout-step waiver UI and email lives in the next section ""Digital Waiver"".","Detektering av digitalt innehåll enligt art. 16(m) konsumenträttighetsdirektivet. Avgör vad som räknas som digitalt innehåll för ångerrättens syfte. Själva avståendegränssnittet i kassan och e-posten finns i nästa avsnitt „Avstående för digitalt innehåll“."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches control this feature end-to-end: the <em>Detection</em> subgroup under <em>Eligibility Rules</em> decides what counts as digital (master switch); this section renders the 2-checkbox waiver UX at checkout and dispatches the Art. 11a(4) confirmation email. Both must be ON for the feature to work end-to-end. Per-locale text overrides below. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Undantag art. 16(m) konsumenträttighetsdirektivet — digitalt innehåll där kunden (1) uttryckligen i förväg samtyckt till att utförandet inleds och (2) bekräftat förlust av ångerrätten. Två brytare styr funktionen: undergruppen <em>Identifiering</em> under <em>Behörighetsregler</em> avgör vad som räknas som digitalt (huvudbrytare); detta avsnitt renderar avstående-UI med 2 kryssrutor i kassan och skickar bekräftelse-e-post enligt art. 11a(4). Båda måste vara PÅ. Textöverstyrningar per språk nedan. Använd endast för <strong>digitala engångsköp</strong> (e-böcker, installationsprogram, musikfiler, spel). Aktivera <strong>inte</strong> för pågående digitala <strong>prenumerationer eller tjänster</strong> (SaaS, streaming, värdtjänster) — EU-rättspraxis (CJEU Sky, C-641/19) kräver ett annat samtyckesflöde."
"Defines <strong>when</strong> the 14-day withdrawal right starts running (the delivery trigger, Art. 9(2)(b)) and <strong>how long</strong> it lasts in days (Art. 9(2)). Together these control the period each order's withdrawal is open.","Definierar <strong>när</strong> den 14-dagars ångerrätten börjar löpa (leveransutlösare, art. 9(2)(b)) och <strong>hur länge</strong> den varar i dagar (art. 9(2)). Tillsammans styr de perioden då varje orders ångerrätt är öppen."
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates 14-3650 only.","Standard 14 dagar enligt art. 9(2). Förlängning tillåten (t.ex. 30, 100). Minskning under 14 är olaglig — fältet validerar endast 14-3650."
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Eligibility Rules → Detection → Enable Digital Content Detection</em> is also on.","När aktiverat visar varukorgar med ett upptäckt digitalt objekt avstående-steget med 2 kryssrutor i kassan. Har ingen effekt om inte <em>Behörighetsregler → Identifiering → Aktivera identifiering av digitalt innehåll</em> också är aktiverat."
"Optional. Comma-separated. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Valfritt. Kommaseparerade. Skickar en hemlig kopia av avstående-bekräftelsemailen till en handlares revisionsadress. Lämna tomt för att hoppa över."
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase; Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Juridisk varning.</strong> Art. 11a(2) konsumenträttighetsdirektivet kräver den ordagranna texten „återkalla från avtalet här“ <em>eller en motsvarande otvetydig formulering</em>. Standardvärdet („Återkalla från avtalet här“) är Direktivets ordagranna fras; Översättningar per språk är juridiskt godkända. <strong>Skriv inte över utan att ha fått skriftliga råd från en kvalificerad konsumenträttsadvokat i målgruppens jurisdiktion.</strong> Varje överskrivning registreras i revisionsloggen."
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed; Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Juridisk varning.</strong> Detta är etiketten på den slutliga bekräftelseknappen. Standard („Bekräfta ångerrätt“) är juridiskt godkänd; Översättningar per språk är juridiskt godkända. Skriv över endast med skriftliga juridiska råd; överskrivningar registreras i revisionsloggen."
"Cancel the linked order? No payment has been captured, so there is nothing to refund — the order will be cancelled in Magento.","Avbryt den länkade ordern? Ingen betalning har debiterats, så det finns inget att återbetala — ordern avbryts i Magento."
